class,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle
good_form,76.48717690565155,74.67290830580312,161.24274880662443,167.61223051358596
good_form,79.84578219000724,77.56177065745118,160.26739404937047,165.51982570137565
good_form,84.63517591676553,80.99162791690227,161.9288785574657,165.19965285049247
good_form,86.2269571239423,82.7724433183392,161.27602111482173,163.75064421612197
good_form,90.73791680179971,87.38533515328548,162.08434853844005,163.04451084517046
good_form,94.04781386099354,92.68946359401514,162.64346819812934,163.66345759818356
good_form,97.41223089506536,97.11077889605943,163.90658385552422,164.22774047095416
good_form,99.75299904424087,100.72726566720728,164.65007956330825,163.51481596530468
good_form,102.13392020132783,105.1885839490025,164.64872698842612,163.93393776125697
good_form,106.19347589701059,110.38516983849237,165.06117533565205,165.13320733729412
good_form,108.5528700154864,114.2389456365995,165.92589359749905,165.71405051058105
good_form,110.53464356115869,118.3239493988623,165.89604519590856,166.54926931078597
good_form,111.4123076292502,121.12565516968992,166.05008899931633,166.49339672500201
good_form,112.94054977263488,123.03419226522031,164.88740724031913,165.99818991185455
good_form,114.13790879831825,126.06968863790077,164.0986772110104,164.20401305401057
good_form,117.8416542985186,129.44268919277522,163.2209228628932,164.0439316612161
good_form,123.23188102210689,133.3572217885313,163.95745350133257,164.94890173362984
good_form,128.7198069157056,137.46308173609034,164.47182952581952,164.6125141278744
good_form,131.8204427027038,139.97234831267878,163.2360268721508,164.83244942737488
good_form,136.75676611994282,143.58906005694158,164.94412871771536,165.82172259112272
good_form,138.95420430154851,144.67406931375302,165.00381393880406,165.6913985854289
good_form,140.750107584672,145.6844390132211,166.51005052218008,166.7070710190281
good_form,142.44836427787752,147.16750994457615,166.17635558727423,165.7831073636397
good_form,144.66452530528022,149.27206912217432,166.4678486240884,166.34999144119985
good_form,146.38302669409302,151.57072725721426,166.8026290442863,165.82073356809536
good_form,146.7612584920695,152.01793748751564,165.9235312304025,165.95482395564127
good_form,148.05264379142668,152.7347622328349,165.78606301069863,166.29925490022484
good_form,150.19733428637838,155.1804689077423,165.81756543082122,165.76950635392802
good_form,151.32450625169017,156.2753122634267,166.74845331465363,166.1075363755399
good_form,153.00250619010774,158.06984850511864,166.82898281819223,166.15546928121628
good_form,155.75833656919662,160.09129139664788,166.47743720807057,166.13052060900736
good_form,156.61635778702902,161.50324947038698,166.78914124463248,165.0518336875128
good_form,157.61074105161137,162.32727350845173,166.45315007452072,165.03510505459198
good_form,159.01593622781544,163.316440246326,167.2414834991043,164.60366708177733
good_form,159.64748806308822,164.0998930975609,167.57438953339914,164.73967187119018
good_form,160.22738970026,164.7564835962265,168.11946422268704,166.11337994562604
good_form,160.4251789662824,165.70391914831828,168.92484536708687,166.47740336882148
good_form,160.77247535104462,167.01561372142012,168.97523538191336,166.3175311991881
good_form,161.264579482797,167.18268660524032,168.7669434460443,166.81154323437906
good_form,161.64861356018292,167.5354977742475,168.63450755080763,166.2650462465251
good_form,161.6160509047071,167.95090171390854,168.77795761870976,166.32992860689558
good_form,160.89884233352709,167.8478121366557,168.78110798064833,166.29955501040726
good_form,160.82435492693733,167.6581362737686,168.8746025807526,166.15931633447684
good_form,160.5629319241467,167.01790616606013,169.2560556330499,166.0021877752536
good_form,158.94882819967515,165.86462572685298,168.98094989005966,166.21127831541708
good_form,156.6739010143216,164.45905954449526,168.52081812844506,166.9434029029154
